# Unplagged csv file [de]
Register now;Jetzt registrieren
login;einloggen
or;oder
Edit profile;Profil bearbeiten
List of cases;Liste der Fälle
Actions;Aktionen
Alias;Pseudonym
Create a case;Fall anlegen
Files;Dateien
Upload a file;Datei hochladen
Size;Größe
List of uploaded files;Liste hochgeladener Dateien
You are not logged in.;Sie sind nicht eingeloggt.
Credential Information;Zugangsdaten
Username;Benutzername
Password;Passwort
Log in;Einloggen
Registration;Registrierung
Shown username;Angezeigter Benutzername
Re-enter Password;Passwort nochmal eingeben
Filename;Dateiname
download;herunterladen
set target;set target
unset target;unset target
Welcome;Willkommen
Cases;Fälle
File Information;Datei Informationen
Filepath;Dateipfad
New filename;Neuer Dateiname
Upload file;Datei hochladen
Create case;Fall anlegen
Create;Anlegen
Name;Name
Case Information;Fall Informationen
Documents;Dokumente
List of documents;Liste von Dokumenten
Uploaded;Hochgeladen
Edit Case;Fall bearbeiten
Case you're working on;Ihr aktueller Fall
Logout;Ausloggen
of;von
You were logged off successfully.;Sie wurden erfolgreich ausgeloggt.
You were logged in successfully.;Sie wurden erfolgreich eingeloggt.
Register;Registrieren
Imprint;Impressum
Select a Case;Fall auswählen

Your browser is;Ihr Browser ist
ancient!;veraltet!
Upgrade to a different browser;Bitte updaten Sie auf einen neueren Browser
install Google Chrome Frame;installieren Sie Google Chrome Frame
to experience this site.;um diese Seite in vollständiger Qualität zu sehen.

Unfortunately JavaScript is currently not supported or is disabled in your browser. Please enable JavaScript for full functionality.;Leider wird JavaScript in Ihrem Browser nicht unterstützt oder ist deaktiviert. Bitte aktivieren Sie JavaScript für die vollständige Funktionalität.
Attention!;Achtung!

Page;Seite

Upload files;Dateien hochladen
File information;Dateiinformationen
Description;Beschreibung
Activity;Aktivität
Fragments;Fragmente
Reports;Berichte
The file "%s" was successfully uploaded.;Die Datei "%s" wurde erfolgreich hochgeladen.
List of states;Statusliste
Title;Titel
Action;Aktion
Edit state;Status editieren
Delete state;Status löschen
Create new state;Neuen Status erstellen
Edit Profile;Profil editieren
Home;Home
Case Files;Fall Dateien
# See here for bug with first char Umlauts: http://framework.zend.com/issues/browse/ZF-5757
Public Files;Oeffentliche Dateien
Personal Files;Persönliche Dateien
Administration;Administration
Roles;Rollen
States;Status
In order to manage fragments, you need to set a target document on the case.;Um Fragmente zu erstellen ist es erforderlich ein Zieldokument für den Fall auszuwählen.
Pages;Seiten
Set target;Als Zieldokument setzen
State;Status
Edit document;Dokument editieren
Delete document;Dokument löschen
No files found.;Keine Dateien gefunden
Recent activity;Letzte Aktivitäten
Latest cases;Neuste Fälle
The character recognition of big files can take very long, you will be notified when this action is finished.;Die Texterkennung von großen Dateien kann sehr lange dauern. Sie werden benachrichtigt sobald der Prozess beendet wurde.
The report generation for "%s" has been started.;Die Berichterstellung für "%s" wurde gestartet.
Show comments;Kommentare anzeigen
Write comment;Kommentar schreiben
